timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200201T0000,19.329214,0,0,0,0,0,0
20200201T0100,18.819214,0,0,0,0,0,0
20200201T0200,18.339214,0,0,0,0,0,0
20200201T0300,17.999214,0,0,0,0,0,0
20200201T0400,17.629213,0,0,0,0,0,0
20200201T0500,17.249214,0,0,0,0,0,0
20200201T0600,16.839214,0,0,0,0,0,0
20200201T0700,16.929214,0,24.92,15.022876,9.897124,34.817124,0
20200201T0800,18.779213,0,195.8,112.17041,83.62959,279.42959,0
20200201T0900,22.259214,49.276596,473.47998,285.74365,187.73633,661.21631,0
20200201T1000,25.199213,58.659573,670.17,427.1937,242.97629,913.14629,0
20200201T1100,26.759214,57.12766,807.23,537.04736,270.18262,1077.41262,0
20200201T1200,27.629213,53.489365,856.18,602.64984,253.53017,1109.71017,0
20200201T1300,28.229214,37.659573,854.39996,613.35175,241.0482,1095.44816,0
20200201T1400,26.919214,0,359.56,60.849518,298.71048,658.27048,0
20200201T1500,25.529213,0,209.15,8.811844,200.33815,409.48815,0.2
20200201T1600,24.479214,0,202.92,26.87967,176.04033,378.96033,0
20200201T1700,22.899214,0,179.78,88.384026,91.39597,271.17597,0
20200201T1800,21.879213,0,62.3,47.8198,14.480199,76.780199,0
20200201T1900,20.949213,0,0.89,0.034665108,0.8553349,1.7453349,0
20200201T2000,20.499214,0,0,0,0,0,0
20200201T2100,20.359213,0,0,0,0,0,0
20200201T2200,20.129213,0,0,0,0,0,0
20200201T2300,19.809214,0,0,0,0,0,0
20200202T0000,19.819214,0,0,0,0,0,0
20200202T0100,19.539215,0,0,0,0,0,0
20200202T0200,19.159214,0,0,0,0,0,0
20200202T0300,18.719213,0,0,0,0,0,0
20200202T0400,18.179214,0,0,0,0,0,0
20200202T0500,17.729214,0,0,0,0,0,0
20200202T0600,17.489214,0,0,0,0,0,0
20200202T0700,17.949215,0,19.58,14.5888405,4.9911594,24.5711594,0
20200202T0800,19.569214,0,142.4,113.29842,29.10157,171.50157,0
20200202T0900,20.619213,0,205.59,67.74948,137.84052,343.43052,0
20200202T1000,21.719213,36.38298,267,52.1111,214.8889,481.8889,0
20200202T1100,22.329214,37.659573,288.36,21.702942,266.65704,555.01704,0
20200202T1200,22.939215,40.851063,323.96,21.089233,302.87076,626.83076,0
20200202T1300,23.429214,40.851063,358.66998,40.834534,317.83545,676.50543,0
20200202T1400,23.279213,0,357.78,58.50235,299.27765,657.05765,0.2
20200202T1500,22.799213,0,200.25,7.784195,192.4658,392.7158,0.5
20200202T1600,22.249214,0,153.08,6.4736786,146.60632,299.68632,0.2
20200202T1700,22.239214,21.702127,248.31,211.27043,37.03957,285.34957,0
20200202T1800,20.879213,0,96.119995,52.1616,43.958397,140.078392,0
20200202T1900,19.739214,0,0.89,0.032684088,0.8573159,1.7473159,0
20200202T2000,19.439213,0,0,0,0,0,0
20200202T2100,19.319214,0,0,0,0,0,0
20200202T2200,19.109215,0,0,0,0,0,0
20200202T2300,18.579214,0,0,0,0,0,0
20200203T0000,18.199215,0,0,0,0,0,0
20200203T0100,17.849213,0,0,0,0,0,0
20200203T0200,17.469213,0,0,0,0,0,0
20200203T0300,17.089214,0,0,0,0,0,0
20200203T0400,16.679214,0,0,0,0,0,0
20200203T0500,16.349213,0,0,0,0,0,0
20200203T0600,16.119213,0,0,0,0,0,0
20200203T0700,16.849213,0,24.029999,14.894128,9.135871,33.16587,0
20200203T0800,18.479214,0,189.56999,111.90385,77.666145,267.236135,0
20200203T0900,21.459213,50.42553,474.37,286.4361,187.93388,662.30388,0
20200203T1000,24.629213,52.723404,683.52,436.0194,247.50063,931.02063,0
20200203T1100,26.449213,54.063828,822.36,545.3552,277.00473,1099.36473,0
20200203T1200,27.519215,51.19149,881.1,610.7245,270.37546,1151.47546,0
20200203T1300,28.119213,51.574467,869.52997,619.69995,249.83005,1119.36002,0
20200203T1400,28.359213,51.19149,829.48,578.55786,250.9221,1080.4021,0
20200203T1500,28.249214,40.851063,729.8,484.78918,245.0108,974.8108,0
20200203T1600,27.479214,40.851063,574.05,357.6537,216.3963,790.4463,0
20200203T1700,26.119213,40.851063,364.00998,213.1662,150.84378,514.85376,0
